Ñurrency Date Open
INR%3dX 2017-02-10 66.735
INR%3dX 2017-02-09 66.955
INR%3dX 2017-02-08 67.35
INR%3dX 2017-02-07 67.195
INR%3dX 2017-02-06 67.1682
INR%3dX 2017-02-03 67.2656
INR%3dX 2017-02-02 67.395
INR%3dX 2017-02-01 67.4694
INR%3dX 2017-01-31 67.8255
INR%3dX 2017-01-30 68.1099
INR%3dX 2017-01-27 68.1455
INR%3dX 2017-01-26 67.9655
INR%3dX 2017-01-25 68.1647
INR%3dX 2017-01-24 68.0555
INR%3dX 2017-01-23 68.0722
INR%3dX 2017-01-20 68.09
INR%3dX 2017-01-19 68.2255
INR%3dX 2017-01-18 67.8905
INR%3dX 2017-01-17 68.095
INR%3dX 2017-01-16 68.1578
INR%3dX 2017-01-13 68.13
INR%3dX 2017-01-12 68.14
INR%3dX 2017-01-11 68.315
INR%3dX 2017-01-10 68.0944
INR%3dX 2017-01-09 68.1326
INR%3dX 2017-01-06 67.738
INR%3dX 2017-01-05 67.885
INR%3dX 2017-01-04 68.27
INR%3dX 2017-01-03 68.135
INR%3dX 2017-01-02 67.9448
INR%3dX 2016-12-30 67.9305
INR%3dX 2016-12-29 68.20
INR%3dX 2016-12-28 67.965
INR%3dX 2016-12-27 67.81
INR%3dX 2016-12-26 67.8308
INR%3dX 2016-12-23 67.8355
INR%3dX 2016-12-22 67.833
INR%3dX 2016-12-21 67.77
INR%3dX 2016-12-20 67.8403
INR%3dX 2016-12-19 67.835
INR%3dX 2016-12-16 67.85
INR%3dX 2016-12-15 67.77
INR%3dX 2016-12-14 67.3865
INR%3dX 2016-12-13 67.415
INR%3dX 2016-12-12 67.4618
INR%3dX 2016-12-09 67.404
INR%3dX 2016-12-08 67.38
INR%3dX 2016-12-07 67.733
INR%3dX 2016-12-06 68.00
INR%3dX 2016-12-05 68.0115
INR%3dX 2016-12-02 68.218
INR%3dX 2016-12-01 68.585
INR%3dX 2016-11-30 68.605
INR%3dX 2016-11-29 68.5555
INR%3dX 2016-11-28 68.5085
INR%3dX 2016-11-25 68.745
INR%3dX 2016-11-24 68.7985
INR%3dX 2016-11-23 68.385
INR%3dX 2016-11-22 68.2155
INR%3dX 2016-11-21 68.1685
INR%3dX 2016-11-18 67.975
INR%3dX 2016-11-17 67.975
INR%3dX 2016-11-16 67.728
INR%3dX 2016-11-15 67.85
INR%3dX 2016-11-14 67.5472
INR%3dX 2016-11-11 67.21
INR%3dX 2016-11-10 66.545
INR%3dX 2016-11-09 66.205
INR%3dX 2016-11-08 66.735
INR%3dX 2016-11-07 66.7853
INR%3dX 2016-11-04 66.685
INR%3dX 2016-11-03 66.785
INR%3dX 2016-11-02 66.685
INR%3dX 2016-11-01 66.665
INR%3dX 2016-10-31 66.7814
INR%3dX 2016-10-28 66.896
INR%3dX 2016-10-27 66.854
INR%3dX 2016-10-26 66.7863
INR%3dX 2016-10-25 66.838
INR%3dX 2016-10-24 66.918
INR%3dX 2016-10-21 66.85
INR%3dX 2016-10-20 66.642
INR%3dX 2016-10-19 66.7337
INR%3dX 2016-10-18 66.79
INR%3dX 2016-10-17 66.71
INR%3dX 2016-10-14 66.785
INR%3dX 2016-10-13 66.8195
INR%3dX 2016-10-12 66.7982
INR%3dX 2016-10-11 66.5055
INR%3dX 2016-10-10 66.5915
INR%3dX 2016-10-07 66.69
INR%3dX 2016-10-06 66.57
INR%3dX 2016-10-05 66.5782
INR%3dX 2016-10-04 66.4835
INR%3dX 2016-10-03 66.5455
INR%3dX 2016-09-30 66.8133
INR%3dX 2016-09-29 66.3325
INR%3dX 2016-09-28 66.4463
INR%3dX 2016-09-27 66.6074
INR%3dX 2016-09-26 66.6975
INR%3dX 2016-09-23 66.63
INR%3dX 2016-09-22 66.7638
INR%3dX 2016-09-21 66.98
INR%3dX 2016-09-20 66.962
INR%3dX 2016-09-19 67.0655
INR%3dX 2016-09-16 66.85
INR%3dX 2016-09-15 66.772
INR%3dX 2016-09-14 67.0705
INR%3dX 2016-09-13 66.74
INR%3dX 2016-09-12 66.897
INR%3dX 2016-09-09 66.07
INR%3dX 2016-09-08 66.4693
INR%3dX 2016-09-07 66.2368
INR%3dX 2016-09-06 66.425
INR%3dX 2016-09-05 66.5728
INR%3dX 2016-09-02 66.797
INR%3dX 2016-09-01 66.964
INR%3dX 2016-08-31 67.1341
INR%3dX 2016-08-30 67.0832
INR%3dX 2016-08-29 67.1265
INR%3dX 2016-08-26 67.0025
INR%3dX 2016-08-25 67.10
INR%3dX 2016-08-24 67.141
INR%3dX 2016-08-23 67.198
INR%3dX 2016-08-22 67.1286
INR%3dX 2016-08-19 66.8175
INR%3dX 2016-08-18 66.8936
INR%3dX 2016-08-17 66.8543
INR%3dX 2016-08-16 66.8945
INR%3dX 2016-08-15 66.8995
INR%3dX 2016-08-12 66.775
INR%3dX 2016-08-11 66.752
INR%3dX 2016-08-10 66.783
INR%3dX 2016-08-09 66.799
INR%3dX 2016-08-08 66.835
INR%3dX 2016-08-05 66.832
INR%3dX 2016-08-04 66.76
INR%3dX 2016-08-03 66.676
INR%3dX 2016-08-02 66.751
INR%3dX 2016-08-01 66.648
INR%3dX 2016-07-29 67.007
INR%3dX 2016-07-28 67.064
INR%3dX 2016-07-27 67.284
INR%3dX 2016-07-26 67.407
INR%3dX 2016-07-25 67.146
INR%3dX 2016-07-22 67.154
INR%3dX 2016-07-21 67.164
INR%3dX 2016-07-20 67.189
INR%3dX 2016-07-19 67.135
INR%3dX 2016-07-18 67.133
INR%3dX 2016-07-15 66.838
INR%3dX 2016-07-14 67.007
INR%3dX 2016-07-13 66.968
INR%3dX 2016-07-12 67.145
INR%3dX 2016-07-11 67.132
INR%3dX 2016-07-08 67.51
INR%3dX 2016-07-07 67.401
INR%3dX 2016-07-06 67.426
INR%3dX 2016-07-05 67.237
INR%3dX 2016-07-04 67.17
INR%3dX 2016-07-01 67.501
INR%3dX 2016-06-30 67.416
INR%3dX 2016-06-29 67.704
INR%3dX 2016-06-28 67.92
INR%3dX 2016-06-27 67.73
INR%3dX 2016-06-24 67.24
INR%3dX 2016-06-23 67.408
INR%3dX 2016-06-22 67.607
INR%3dX 2016-06-21 67.543
INR%3dX 2016-06-20 67.60
INR%3dX 2016-06-17 67.295
INR%3dX 2016-06-16 67.073
INR%3dX 2016-06-15 67.298
INR%3dX 2016-06-14 67.153
INR%3dX 2016-06-13 66.945
INR%3dX 2016-06-10 66.741
INR%3dX 2016-06-09 66.51
INR%3dX 2016-06-08 66.763
INR%3dX 2016-06-07 66.801
INR%3dX 2016-06-06 66.992
INR%3dX 2016-06-03 67.292
INR%3dX 2016-06-02 67.426
INR%3dX 2016-06-01 67.193
INR%3dX 2016-05-31 67.133
INR%3dX 2016-05-30 67.024
INR%3dX 2016-05-27 66.954
INR%3dX 2016-05-26 67.304
INR%3dX 2016-05-25 67.651
INR%3dX 2016-05-24 67.454
INR%3dX 2016-05-23 67.423
INR%3dX 2016-05-20 67.477
INR%3dX 2016-05-19 67.161
INR%3dX 2016-05-18 66.84
INR%3dX 2016-05-17 66.881
INR%3dX 2016-05-16 66.847
INR%3dX 2016-05-13 66.751
INR%3dX 2016-05-12 66.591
INR%3dX 2016-05-11 66.666
INR%3dX 2016-05-10 66.722
INR%3dX 2016-05-09 66.594
INR%3dX 2016-05-06 66.598
INR%3dX 2016-05-05 66.62
INR%3dX 2016-05-04 66.593
INR%3dX 2016-05-03 66.371
INR%3dX 2016-05-02 66.418
INR%3dX 2016-04-29 66.438
INR%3dX 2016-04-28 66.356
INR%3dX 2016-04-27 66.455
INR%3dX 2016-04-26 66.705
INR%3dX 2016-04-25 66.653
INR%3dX 2016-04-22 66.512
INR%3dX 2016-04-21 66.199
INR%3dX 2016-04-20 66.222
INR%3dX 2016-04-19 66.409
INR%3dX 2016-04-18 66.653
INR%3dX 2016-04-15 66.633
INR%3dX 2016-04-14 66.528
INR%3dX 2016-04-13 66.315
INR%3dX 2016-04-12 66.29
INR%3dX 2016-04-11 66.544
INR%3dX 2016-04-08 66.78
INR%3dX 2016-04-07 66.533
INR%3dX 2016-04-06 66.468
INR%3dX 2016-04-05 66.134
INR%3dX 2016-04-04 66.358
INR%3dX 2016-04-01 66.248
INR%3dX 2016-03-31 66.368
INR%3dX 2016-03-30 66.368
INR%3dX 2016-03-29 66.907
INR%3dX 2016-03-28 66.907
INR%3dX 2016-03-25 66.907
INR%3dX 2016-03-24 66.89
INR%3dX 2016-03-23 66.765
INR%3dX 2016-03-22 66.52
INR%3dX 2016-03-21 66.376
INR%3dX 2016-03-18 66.612
INR%3dX 2016-03-17 66.72
INR%3dX 2016-03-16 67.365
INR%3dX 2016-03-15 67.175
INR%3dX 2016-03-14 66.913
INR%3dX 2016-03-11 67.319
INR%3dX 2016-03-10 67.145
INR%3dX 2016-03-09 67.357
INR%3dX 2016-03-08 67.055
INR%3dX 2016-03-07 66.93
INR%3dX 2016-03-04 67.14
INR%3dX 2016-03-03 67.388
INR%3dX 2016-03-02 67.615
